id,Артикул,Название,missing_fields,Ссылка
123872,1207-4585,К ФИГУРА ПОЗДРАВЛЯЮ Бутылка шампанского,Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-pozdravliaiu-butylka-shampanskogo-1207-45/
123881,1207-4586,К ФИГУРА Бокал шампанского,Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-bokal-shampanskogo-1207-4586/
124014,1207-4590,Р ФИГУРА Три Кота Голова Компот,Цвет фольга,https://new.sharik.ru/tovary-dly-prazdnika/r-figura-tri-kota-golova-kompot-1207-4590/
124015,1207-4593,Р ФИГУРА Три Кота Голова Коржик,Цвет фольга,https://new.sharik.ru/tovary-dly-prazdnika/r-figura-tri-kota-golova-korzhik-1207-4593/
124472,1207-4640,А ФИГУРА/S50 Тукан дикий,Цвет фольга,https://new.sharik.ru/tovary-dly-prazdnika/a-figura-s50-tukan-dikii-1207-4640/
125824,1207-4974,К ФИГУРА Малыш девочка,Цвет фольга,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-malysh-devochka-1207-4974/
125825,1207-4975,К ФИГУРА Фея,Цвет фольга,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-feia-1207-4975/
126733,1207-5160,К ФИГУРА Помада губная красная,Цвет фольга,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-pomada-gubnaia-krasnaia-1207-5160/
126734,1207-5161,К ФИГУРА Помада губная розовая,Цвет фольга,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-pomada-gubnaia-rozovaia-1207-5161/
126811,1207-5164,К ФИГУРА Роза акварель,Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-sdr-rozy-pastel-1207-5164/
126813,1207-5166,К ФИГУРА Человек-Паук в полете,Цвет фольга,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-chelovek-pauk-v-polete-1207-5166/
126815,1207-5168,К ФИГУРА Яблоко надкусанное,Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-iabloko-nadkusannoe-1207-5168/
126826,1207-5176,К ФИГУРА Друзья Монстрик синий,Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-monstrik-goluboi-1207-5176/
126827,1207-5177,К ФИГУРА Друзья Монстрик красный,Цвет фольга;Коллекция,https://new.sharik.ru/tovary-dly-prazdnika/k-figura-monstrik-rozovyi-1207-5177/
126897,1207-5181,П ФИГУРА 6 Конфетная машина с сердцами,Цвет фольга,https://new.sharik.ru/tovary-dly-prazdnika/p-figura-6-konfetnaia-mashina-s-serdtsami-1207-5181/
